date,source,gold_usd_open,gold_usd_high,gold_usd_low,gold_usd_close,gold_usd_volume,usdinr_open,usdinr_high,usdinr_low,usdinr_close,target_gold_999,day_of_week,day_of_month,month,quarter,day_of_year,week_of_year,is_month_start,is_month_end,days_to_diwali,is_near_diwali,gold_lag_1,gold_lag_2,gold_lag_3,gold_lag_5,gold_lag_7,gold_lag_14,gold_ma_3,gold_ma_7,gold_ma_14,gold_ma_30,gold_return_1d,gold_return_3d,gold_return_7d,gold_volatility_7,gold_volatility_14,gold_volatility_30,gold_usd_return_1d,usdinr_return_1d,gold_usd_return_3d,usdinr_return_3d,gold_usd_return_7d,usdinr_return_7d,gold_usd_volatility_7,usdinr_volatility_7,gold_usd_volatility_14,usdinr_volatility_14,gold_inr_proxy
2025-10-31,IBJA,4034.5,4034.5,3976.60009765625,3982.199951171875,559.0,88.6344985961914,88.9115982055664,88.5636978149414,88.6344985961914,120792.5,4,31,10,4,304,44,0,1,373,0,119436.0,119990.0,118603.5,121968.5,123659.0,121185.0,119343.16666666667,121283.85714285714,123668.46428571429,119208.41666666667,-0.4617051420951701,-1.8921549702438423,-6.090115307650878,1.4240003278986015,1.6987701480119723,1.383662592584626,-0.47734729770749773,0.3270137899004322,0.40340880936353685,0.46745576816324963,-1.5379278180634337,0.7191873871758903,1.4805583189274412,0.2399184786648754,2.690451403103924,0.36178915723710664,352960.29598189704
2025-11-03,IBJA,3976.199951171875,4020.0,3959.0,4000.300048828125,0.0,88.77539825439453,88.91500091552734,88.68930053710938,88.77539825439453,120945.0,0,3,11,4,307,45,0,0,370,0,120792.5,119436.0,119990.0,121739.5,123590.5,123962.0,120072.83333333333,120874.35714285714,123640.42857142857,119573.1,1.135754713821635,1.8456453645971704,-2.318068236036197,1.3240097934742794,1.7072860825752483,1.3783534267099777,0.4545250835765735,0.15896706184919118,0.4167005010346392,0.6232849093294135,-3.0347824790176947,1.1797260540314713,1.1788233069969996,0.16287259432619786,2.524291253932618,0.36337335818401995,355128.2299717907
2025-11-04,IBJA,3994.199951171875,3995.39990234375,3927.39990234375,3947.699951171875,657.0,88.72339630126953,88.77449798583984,88.30650329589844,88.72339630126953,119676.0,1,4,11,4,308,45,0,0,369,0,120945.0,120792.5,119436.0,118603.5,121968.5,125917.0,120391.16666666667,120496.42857142857,123424.92857142857,119947.41666666667,0.12624956019620104,0.7958996583048661,-2.140536691736017,1.3319744723047493,1.5758061759095547,1.3762878044871365,-1.3149038075696118,-0.05857698658358057,-1.3395670657577408,0.4276387319322783,-4.144812432486966,1.0758803129217398,1.2152019985450258,0.17963125031518662,2.527883544972854,0.3625580473543988,350253.34724632464
2025-11-06,IBJA,4004.0,4007.5,3979.89990234375,3979.89990234375,650.0,88.55690002441406,88.68170166015625,88.4114990234375,88.55690002441406,120385.0,3,6,11,4,310,45,0,0,367,0,119676.0,120945.0,120792.5,119990.0,121739.5,126538.0,120471.16666666667,120168.92857142857,122979.14285714286,120275.81666666667,-1.0492372566042407,0.20094443886264912,-1.8795836629949547,1.302047180741374,1.507402335801411,1.3988444774193731,0.8156635907021315,-0.1876576909771499,-0.057758245601102765,-0.08754894877994746,-0.5497388874498244,0.8287668359143741,0.813849541224323,0.22058437324066538,2.5240274871239774,0.3640152192880762,352447.59775903076
2025-11-07,IBJA,3980.800048828125,3999.39990234375,3980.800048828125,3999.39990234375,245.0,88.6729965209961,88.72039794921875,88.6001968383789,88.6729965209961,120165.5,4,7,11,4,311,45,0,0,366,0,120385.0,119676.0,120945.0,119436.0,118603.5,127359.0,120335.33333333333,119975.42857142857,122539.64285714286,120566.61666666667,0.5924329021691932,-0.3373553821636288,-1.1126216223986463,1.3423674525136378,1.5119088509210825,1.3759071760420243,0.48996207137059766,0.1310981939860456,-0.02250197418662836,-0.11534922446080342,0.8370720483233729,0.5110932752145692,0.7477997918886707,0.16798254541510818,2.4085637424610877,0.1909968006376436,354638.77362659946
2025-11-10,IBJA,4060.0,4111.7998046875,4060.0,4111.7998046875,189.0,88.65799713134766,88.74230194091797,88.51419830322266,88.65799713134766,122264.0,0,10,11,4,314,46,0,0,363,0,120165.5,120385.0,119676.0,120792.5,119990.0,130229.0,120075.5,120198.57142857143,122025.82142857143,120775.26666666666,-0.1823316858412638,-0.644507834139485,1.3169931747376795,0.8284533984682935,1.485989677490859,1.3374256773882751,2.810419190086022,-0.016915397287697864,4.1568471653199435,-0.07371130124438352,3.2155999469272833,0.49021553554671193,1.2702446797221065,0.1695828926221276,2.5056963214693226,0.18804240106787404,364543.9352886602
2025-11-11,IBJA,4140.10009765625,4140.10009765625,4106.7998046875,4106.7998046875,569.0,88.70709991455078,88.71649932861328,88.41960144042969,88.70709991455078,124148.0,1,11,11,4,315,46,0,0,362,0,122264.0,120165.5,120385.0,120945.0,119436.0,127181.5,120938.16666666667,120523.42857142857,121456.89285714286,121056.93333333333,1.7463415040090524,2.162505431331252,1.8951579298274845,0.960388997709178,1.420981997415655,1.366098611461605,-0.12160125097286922,0.055384494114374405,3.1885199491831218,0.16960834231471988,2.6366369572877524,0.40919255306341995,1.2892977048648402,0.16706365893587719,2.2823472749918268,0.1876731028585892,364302.3006034717
2025-11-12,IBJA,4115.60009765625,4204.39990234375,4102.89990234375,4204.39990234375,396.0,88.46649932861328,88.65370178222656,88.46649932861328,88.46649932861328,123637.5,2,12,11,4,316,46,0,0,361,0,124148.0,122264.0,120165.5,119676.0,120792.5,123659.0,122192.5,121196.57142857143,121240.21428571429,121418.85,1.5409278283059713,3.1258047098891018,3.9452091496701147,1.0025797873997906,1.4002718014444053,1.3791217242551894,2.3765487069725033,-0.2712303594292531,5.125768990489421,-0.23287494556916144,5.579829086846488,-0.189541623452405,1.4179820456531436,0.15964761124070895,1.4860632482826996,0.20701775912342715,371948.5411379151
2025-11-13,IBJA,4228.7001953125,4228.7001953125,4163.7001953125,4186.89990234375,167.0,88.59390258789062,88.79910278320312,88.58209991455078,88.59400177001953,126339.0,3,13,11,4,317,46,0,0,360,0,123637.5,124148.0,122264.0,120385.0,120945.0,123590.5,123349.83333333333,121603.0,121238.67857142857,121764.08333333333,-0.4112027579985189,2.8893484402761294,2.355278680381656,1.024411327584725,1.1884081827061987,1.3843239786754447,-0.4162306252134762,0.1441251121881093,1.8264531646369209,-0.07218227728889026,4.6646464324667125,-0.2043319297258317,1.4884750472022648,0.15684017313160675,1.4097463632641476,0.1844879751973497,370934.2173591368
2025-11-14,IBJA,4197.7001953125,4197.89990234375,4047.0,4087.60009765625,483.0,88.81620025634766,88.81620025634766,88.63249969482422,88.81610107421875,125111.0,4,14,11,4,318,46,0,0,359,0,126339.0,123637.5,124148.0,120165.5,119676.0,121968.5,124708.16666666667,122373.57142857143,121435.0,122129.61666666667,2.185016681831975,3.3329516456193087,4.459878457149946,1.2287730570079052,1.3228427323470093,1.398632746373472,-2.371678497303309,0.2506933875453088,-0.46751017688604346,0.12287760480611531,3.5438394055973266,0.10448740333883766,1.752647240376426,0.18768363501067117,1.5588619793678946,0.19047859667955447,363044.70342442393
